Site:,GorstenN2,6875,tonnes,118,days,2832,timesteps,,
3,4,4,3,85,9,mg,ug,ug,
Day,Time,A-Chem(fd)ug/d,A-Chem(fae)ug/d,A-FI(kg/d for farm),,,,,
#NAME?,160,10312500,33343750,34375
#NAME?,161,10312500,33343750,34375
#NAME?,162,10312500,33343750,34375
#NAME?,163,10312500,33343750,34375
#NAME?,164,10312500,33343750,34375
#NAME?,165,10312500,33343750,34375
#NAME?,166,10312500,33343750,34375
#NAME?,167,10312500,33343750,34375
#NAME?,168,10312500,33343750,34375
#NAME?,169,0,40059331,6076
#NAME?,170,0,40059331,6076
#NAME?,171,0,40059331,6076
#NAME?,172,0,40059331,6076
#NAME?,173,0,40059331,6076
#NAME?,174,0,40059331,6076
#NAME?,175,0,40059331,6076
#NAME?,176,0,40059331,6076
#NAME?,177,0,40059331,6076
#NAME?,178,0,40059331,6076
#NAME?,179,0,40059331,6076
#NAME?,180,0,40059331,6076
#NAME?,181,0,40059331,6076
#NAME?,182,0,40059331,6076
#NAME?,183,0,40059331,6076
#NAME?,184,0,40059331,6076
#NAME?,185,0,40059331,6076
#NAME?,186,0,40059331,6076
#NAME?,187,0,40059331,6076
#NAME?,188,0,40059331,6076
#NAME?,189,0,40059331,6076
#NAME?,190,0,40059331,6076
#NAME?,191,0,40059331,6076
#NAME?,192,0,40059331,6076
#NAME?,193,0,39295403,6076
#NAME?,194,0,39295403,6076
#NAME?,195,0,39295403,6076
#NAME?,196,0,39295403,6076
#NAME?,197,0,39295403,6076
#NAME?,198,0,39295403,6076
#NAME?,199,0,39295403,6076
#NAME?,200,0,39295403,6076
#NAME?,201,0,39295403,6076
#NAME?,202,0,39295403,6076
#NAME?,203,0,39295403,6076
#NAME?,204,0,39295403,6076
#NAME?,205,0,39295403,6076
#NAME?,206,0,39295403,6076
#NAME?,207,0,39295403,6076
#NAME?,208,0,39295403,6076
#NAME?,209,0,39295403,6076
#NAME?,210,0,39295403,6076
#NAME?,211,0,39295403,6076
#NAME?,212,0,39295403,6076
#NAME?,213,0,39295403,6076
#NAME?,214,0,39295403,6076
#NAME?,215,0,39295403,6076
#NAME?,216,0,39295403,6076
#NAME?,217,0,38546043,6076
#NAME?,218,0,38546043,6076
#NAME?,219,0,38546043,6076
#NAME?,220,0,38546043,6076
#NAME?,221,0,38546043,6076
#NAME?,222,0,38546043,6076
#NAME?,223,0,38546043,6076
#NAME?,224,0,38546043,6076
#NAME?,225,0,38546043,6076
#NAME?,226,0,38546043,6076
#NAME?,227,0,38546043,6076
#NAME?,228,0,38546043,6076
#NAME?,229,0,38546043,6076
#NAME?,230,0,38546043,6076
#NAME?,231,0,38546043,6076
#NAME?,232,0,38546043,6076
#NAME?,233,0,38546043,6076
#NAME?,234,0,38546043,6076
#NAME?,235,0,38546043,6076
#NAME?,236,0,38546043,6076
#NAME?,237,0,38546043,6076
#NAME?,238,0,38546043,6076
#NAME?,239,0,38546043,6076
#NAME?,240,0,38546043,6076
#NAME?,241,0,37810973,6076
#NAME?,242,0,37810973,6076
#NAME?,243,0,37810973,6076
#NAME?,244,0,37810973,6076
#NAME?,245,0,37810973,6076
#NAME?,246,0,37810973,6076
#NAME?,247,0,37810973,6076
#NAME?,248,0,37810973,6076
#NAME?,249,0,37810973,6076
#NAME?,250,0,37810973,6076
#NAME?,251,0,37810973,6076
#NAME?,252,0,37810973,6076
#NAME?,253,0,37810973,6076
#NAME?,254,0,37810973,6076
#NAME?,255,0,37810973,6076
#NAME?,256,0,37810973,6076
#NAME?,257,0,37810973,6076
#NAME?,258,0,37810973,6076
#NAME?,259,0,37810973,6076
#NAME?,260,0,37810973,6076
#NAME?,261,0,37810973,6076
#NAME?,262,0,37810973,6076
#NAME?,263,0,37810973,6076
#NAME?,264,0,37810973,6076
#NAME?,265,0,37089921,6076
#NAME?,266,0,37089921,6076
#NAME?,267,0,37089921,6076
#NAME?,268,0,37089921,6076
#NAME?,269,0,37089921,6076
#NAME?,270,0,37089921,6076
#NAME?,271,0,37089921,6076
#NAME?,272,0,37089921,6076
#NAME?,273,0,37089921,6076
#NAME?,274,0,37089921,6076
#NAME?,275,0,37089921,6076
#NAME?,276,0,37089921,6076
#NAME?,277,0,37089921,6076
#NAME?,278,0,37089921,6076
#NAME?,279,0,37089921,6076
#NAME?,280,0,37089921,6076
#NAME?,281,0,37089921,6076
#NAME?,282,0,37089921,6076
#NAME?,283,0,37089921,6076
#NAME?,284,0,37089921,6076
#NAME?,285,0,37089921,6076
#NAME?,286,0,37089921,6076
#NAME?,287,0,37089921,6076
#NAME?,288,0,37089921,6076
#NAME?,289,0,36382620,6076
#NAME?,290,0,36382620,6076
#NAME?,291,0,36382620,6076
#NAME?,292,0,36382620,6076
#NAME?,293,0,36382620,6076
#NAME?,294,0,36382620,6076
#NAME?,295,0,36382620,6076
#NAME?,296,0,36382620,6076
#NAME?,297,0,36382620,6076
#NAME?,298,0,36382620,6076
#NAME?,299,0,36382620,6076
#NAME?,300,0,36382620,6076
#NAME?,301,0,36382620,6076
#NAME?,302,0,36382620,6076
#NAME?,303,0,36382620,6076
#NAME?,304,0,36382620,6076
#NAME?,305,0,36382620,6076
#NAME?,306,0,36382620,6076
#NAME?,307,0,36382620,6076
#NAME?,308,0,36382620,6076
#NAME?,309,0,36382620,6076
#NAME?,310,0,36382620,6076
#NAME?,311,0,36382620,6076
#NAME?,312,0,36382620,6076
#NAME?,313,0,35688806,6076
#NAME?,314,0,35688806,6076
#NAME?,315,0,35688806,6076
#NAME?,316,0,35688806,6076
#NAME?,317,0,35688806,6076
#NAME?,318,0,35688806,6076
#NAME?,319,0,35688806,6076
#NAME?,320,0,35688806,6076
#NAME?,321,0,35688806,6076
#NAME?,322,0,35688806,6076
#NAME?,323,0,35688806,6076
#NAME?,324,0,35688806,6076
#NAME?,325,0,35688806,6076
#NAME?,326,0,35688806,6076
#NAME?,327,0,35688806,6076
#NAME?,328,0,35688806,6076
#NAME?,329,0,35688806,6076
#NAME?,330,0,35688806,6076
#NAME?,331,0,35688806,6076
#NAME?,332,0,35688806,6076
#NAME?,333,0,35688806,6076
#NAME?,334,0,35688806,6076
#NAME?,335,0,35688806,6076
#NAME?,336,0,35688806,6076
#NAME?,337,0,35008224,6076
#NAME?,338,0,35008224,6076
#NAME?,339,0,35008224,6076
#NAME?,340,0,35008224,6076
#NAME?,341,0,35008224,6076
#NAME?,342,0,35008224,6076
#NAME?,343,0,35008224,6076
#NAME?,344,0,35008224,6076
#NAME?,345,0,35008224,6076
#NAME?,346,0,35008224,6076
#NAME?,347,0,35008224,6076
#NAME?,348,0,35008224,6076
#NAME?,349,0,35008224,6076
#NAME?,350,0,35008224,6076
#NAME?,351,0,35008224,6076
#NAME?,352,0,35008224,6076
#NAME?,353,0,35008224,6076
#NAME?,354,0,35008224,6076
#NAME?,355,0,35008224,6076
#NAME?,356,0,35008224,6076
#NAME?,357,0,35008224,6076
#NAME?,358,0,35008224,6076
#NAME?,359,0,35008224,6076
#NAME?,360,0,35008224,6076
#NAME?,361,0,34340620,6076
#NAME?,362,0,34340620,6076
#NAME?,363,0,34340620,6076
#NAME?,364,0,34340620,6076
#NAME?,365,0,34340620,6076
#NAME?,366,0,34340620,6076
#NAME?,367,0,34340620,6076
#NAME?,368,0,34340620,6076
#NAME?,369,0,34340620,6076
#NAME?,370,0,34340620,6076
#NAME?,371,0,34340620,6076
#NAME?,372,0,34340620,6076
#NAME?,373,0,34340620,6076
#NAME?,374,0,34340620,6076
#NAME?,375,0,34340620,6076
#NAME?,376,0,34340620,6076
#NAME?,377,0,34340620,6076
#NAME?,378,0,34340620,6076
#NAME?,379,0,34340620,6076
#NAME?,380,0,34340620,6076
#NAME?,381,0,34340620,6076
#NAME?,382,0,34340620,6076
#NAME?,383,0,34340620,6076
#NAME?,384,0,34340620,6076
#NAME?,385,0,33685747,6076
#NAME?,386,0,33685747,6076
#NAME?,387,0,33685747,6076
#NAME?,388,0,33685747,6076
#NAME?,389,0,33685747,6076
#NAME?,390,0,33685747,6076
#NAME?,391,0,33685747,6076
#NAME?,392,0,33685747,6076
#NAME?,393,0,33685747,6076
#NAME?,394,0,33685747,6076
#NAME?,395,0,33685747,6076
#NAME?,396,0,33685747,6076
#NAME?,397,0,33685747,6076
#NAME?,398,0,33685747,6076
#NAME?,399,0,33685747,6076
#NAME?,400,0,33685747,6076
#NAME?,401,0,33685747,6076
#NAME?,402,0,33685747,6076
#NAME?,403,0,33685747,6076
#NAME?,404,0,33685747,6076
#NAME?,405,0,33685747,6076
#NAME?,406,0,33685747,6076
#NAME?,407,0,33685747,6076
#NAME?,408,0,33685747,6076
#NAME?,409,0,33043363,6076
#NAME?,410,0,33043363,6076
#NAME?,411,0,33043363,6076
#NAME?,412,0,33043363,6076
#NAME?,413,0,33043363,6076
#NAME?,414,0,33043363,6076
#NAME?,415,0,33043363,6076
#NAME?,416,0,33043363,6076
#NAME?,417,0,33043363,6076
#NAME?,418,0,33043363,6076
#NAME?,419,0,33043363,6076
#NAME?,420,0,33043363,6076
#NAME?,421,0,33043363,6076
#NAME?,422,0,33043363,6076
#NAME?,423,0,33043363,6076
#NAME?,424,0,33043363,6076
#NAME?,425,0,33043363,6076
#NAME?,426,0,33043363,6076
#NAME?,427,0,33043363,6076
#NAME?,428,0,33043363,6076
#NAME?,429,0,33043363,6076
#NAME?,430,0,33043363,6076
#NAME?,431,0,33043363,6076
#NAME?,432,0,33043363,6076
#NAME?,433,0,32413229,6076
#NAME?,434,0,32413229,6076
#NAME?,435,0,32413229,6076
#NAME?,436,0,32413229,6076
