"x","y","mg TFBZ/m2","mg TFBZ/kg sediment"
206212.5,771062.5,0.000,0.000
206237.5,771062.5,0.000,0.000
206262.5,771062.5,0.000,0.000
206287.5,771062.5,0.000,0.000
206312.5,771062.5,0.000,0.000
206337.5,771062.5,0.132,0.002
206362.5,771062.5,0.066,0.001
206387.5,771062.5,0.000,0.000
206412.5,771062.5,0.000,0.000
206437.5,771062.5,0.000,0.000
206462.5,771062.5,0.000,0.000
206487.5,771062.5,0.000,0.000
206512.5,771062.5,0.000,0.000
206537.5,771062.5,0.000,0.000
206562.5,771062.5,0.000,0.000
206587.5,771062.5,0.000,0.000
206612.5,771062.5,0.000,0.000
206637.5,771062.5,0.000,0.000
206662.5,771062.5,0.000,0.000
205712.5,771037.5,0.000,0.000
205737.5,771037.5,0.000,0.000
205762.5,771037.5,0.000,0.000
205787.5,771037.5,0.000,0.000
205812.5,771037.5,0.000,0.000
205837.5,771037.5,0.000,0.000
205862.5,771037.5,0.000,0.000
205887.5,771037.5,0.000,0.000
205912.5,771037.5,0.000,0.000
205937.5,771037.5,0.000,0.000
205962.5,771037.5,0.000,0.000
205987.5,771037.5,0.000,0.000
206012.5,771037.5,0.000,0.000
206037.5,771037.5,0.000,0.000
206062.5,771037.5,0.000,0.000
206087.5,771037.5,0.000,0.000
206112.5,771037.5,0.000,0.000
206137.5,771037.5,0.000,0.000
206162.5,771037.5,0.000,0.000
206187.5,771037.5,0.000,0.000
206212.5,771037.5,0.066,0.001
206237.5,771037.5,0.000,0.000
206262.5,771037.5,0.132,0.002
206287.5,771037.5,0.000,0.000
206312.5,771037.5,0.000,0.000
206337.5,771037.5,0.000,0.000
206362.5,771037.5,0.066,0.001
206387.5,771037.5,0.066,0.001
206412.5,771037.5,0.066,0.001
206437.5,771037.5,0.000,0.000
206462.5,771037.5,0.000,0.000
206487.5,771037.5,0.000,0.000
206512.5,771037.5,0.000,0.000
206537.5,771037.5,0.000,0.000
206562.5,771037.5,0.000,0.000
206587.5,771037.5,0.000,0.000
206612.5,771037.5,0.000,0.000
206637.5,771037.5,0.000,0.000
206662.5,771037.5,0.000,0.000
205712.5,771012.5,0.000,0.000
205737.5,771012.5,0.000,0.000
205762.5,771012.5,0.000,0.000
205787.5,771012.5,0.000,0.000
205812.5,771012.5,0.000,0.000
205837.5,771012.5,0.000,0.000
205862.5,771012.5,0.000,0.000
205887.5,771012.5,0.000,0.000
205912.5,771012.5,0.000,0.000
205937.5,771012.5,0.000,0.000
205962.5,771012.5,0.000,0.000
205987.5,771012.5,0.000,0.000
206012.5,771012.5,0.000,0.000
206037.5,771012.5,0.000,0.000
206062.5,771012.5,0.000,0.000
206087.5,771012.5,0.000,0.000
206112.5,771012.5,0.000,0.000
206137.5,771012.5,0.000,0.000
206162.5,771012.5,0.000,0.000
206187.5,771012.5,0.066,0.001
206212.5,771012.5,0.000,0.000
206237.5,771012.5,0.066,0.001
206262.5,771012.5,0.132,0.002
206287.5,771012.5,0.000,0.000
206312.5,771012.5,0.264,0.004
206337.5,771012.5,0.132,0.002
206362.5,771012.5,0.132,0.002
206387.5,771012.5,0.000,0.000
206412.5,771012.5,0.000,0.000
206437.5,771012.5,0.066,0.001
206462.5,771012.5,0.066,0.001
206487.5,771012.5,0.000,0.000
206512.5,771012.5,0.000,0.000
206537.5,771012.5,0.000,0.000
206562.5,771012.5,0.000,0.000
206587.5,771012.5,0.000,0.000
206612.5,771012.5,0.000,0.000
206637.5,771012.5,0.000,0.000
206662.5,771012.5,0.000,0.000
205712.5,770987.5,0.000,0.000
205737.5,770987.5,0.000,0.000
205762.5,770987.5,0.000,0.000
205787.5,770987.5,0.000,0.000
205812.5,770987.5,0.000,0.000
205837.5,770987.5,0.000,0.000
205862.5,770987.5,0.000,0.000
205887.5,770987.5,0.000,0.000
205912.5,770987.5,0.000,0.000
205937.5,770987.5,0.000,0.000
205962.5,770987.5,0.000,0.000
205987.5,770987.5,0.000,0.000
206012.5,770987.5,0.000,0.000
206037.5,770987.5,0.000,0.000
206062.5,770987.5,0.000,0.000
206087.5,770987.5,0.000,0.000
206112.5,770987.5,0.000,0.000
206137.5,770987.5,0.000,0.000
206162.5,770987.5,0.000,0.000
206187.5,770987.5,0.066,0.001
206212.5,770987.5,0.000,0.000
206237.5,770987.5,0.066,0.001
206262.5,770987.5,0.000,0.000
206287.5,770987.5,0.198,0.003
206312.5,770987.5,0.594,0.010
206337.5,770987.5,0.462,0.008
206362.5,770987.5,0.198,0.003
206387.5,770987.5,0.066,0.001
206412.5,770987.5,0.198,0.003
206437.5,770987.5,0.066,0.001
206462.5,770987.5,0.066,0.001
206487.5,770987.5,0.000,0.000
206512.5,770987.5,0.000,0.000
206537.5,770987.5,0.000,0.000
206562.5,770987.5,0.000,0.000
206587.5,770987.5,0.000,0.000
206612.5,770987.5,0.000,0.000
206637.5,770987.5,0.000,0.000
206662.5,770987.5,0.000,0.000
205712.5,770962.5,0.000,0.000
205737.5,770962.5,0.000,0.000
205762.5,770962.5,0.000,0.000
205787.5,770962.5,0.000,0.000
205812.5,770962.5,0.000,0.000
205837.5,770962.5,0.000,0.000
205862.5,770962.5,0.000,0.000
205887.5,770962.5,0.000,0.000
205912.5,770962.5,0.000,0.000
205937.5,770962.5,0.000,0.000
205962.5,770962.5,0.000,0.000
205987.5,770962.5,0.000,0.000
206012.5,770962.5,0.000,0.000
206037.5,770962.5,0.000,0.000
206062.5,770962.5,0.000,0.000
206087.5,770962.5,0.000,0.000
206112.5,770962.5,0.000,0.000
206137.5,770962.5,0.000,0.000
206162.5,770962.5,0.000,0.000
206187.5,770962.5,0.000,0.000
206212.5,770962.5,0.000,0.000
206237.5,770962.5,0.264,0.004
206262.5,770962.5,0.528,0.009
206287.5,770962.5,1.190,0.020
206312.5,770962.5,1.456,0.024
206337.5,770962.5,1.056,0.017
206362.5,770962.5,0.726,0.012
206387.5,770962.5,0.132,0.002
206412.5,770962.5,0.198,0.003
206437.5,770962.5,0.132,0.002
206462.5,770962.5,0.000,0.000
206487.5,770962.5,0.000,0.000
206512.5,770962.5,0.000,0.000
206537.5,770962.5,0.000,0.000
206562.5,770962.5,0.000,0.000
206587.5,770962.5,0.000,0.000
206612.5,770962.5,0.000,0.000
206637.5,770962.5,0.000,0.000
206662.5,770962.5,0.000,0.000
205712.5,770937.5,0.000,0.000
205737.5,770937.5,0.000,0.000
205762.5,770937.5,0.000,0.000
205787.5,770937.5,0.000,0.000
205812.5,770937.5,0.000,0.000
205837.5,770937.5,0.000,0.000
205862.5,770937.5,0.000,0.000
205887.5,770937.5,0.000,0.000
205912.5,770937.5,0.000,0.000
205937.5,770937.5,0.000,0.000
205962.5,770937.5,0.000,0.000
205987.5,770937.5,0.000,0.000
206012.5,770937.5,0.000,0.000
206037.5,770937.5,0.000,0.000
206062.5,770937.5,0.000,0.000
206087.5,770937.5,0.000,0.000
206112.5,770937.5,0.000,0.000
206137.5,770937.5,0.000,0.000
206162.5,770937.5,0.066,0.001
206187.5,770937.5,0.132,0.002
206212.5,770937.5,0.000,0.000
206237.5,770937.5,0.792,0.013
206262.5,770937.5,3.258,0.054
206287.5,770937.5,10.773,0.177
206312.5,770937.5,10.464,0.172
206337.5,770937.5,2.649,0.044
206362.5,770937.5,2.179,0.036
206387.5,770937.5,0.726,0.012
206412.5,770937.5,0.198,0.003
206437.5,770937.5,0.000,0.000
206462.5,770937.5,0.000,0.000
206487.5,770937.5,0.000,0.000
206512.5,770937.5,0.000,0.000
206537.5,770937.5,0.000,0.000
206562.5,770937.5,0.000,0.000
206587.5,770937.5,0.000,0.000
206612.5,770937.5,0.000,0.000
206637.5,770937.5,0.000,0.000
206662.5,770937.5,0.000,0.000
205712.5,770912.5,0.000,0.000
205737.5,770912.5,0.000,0.000
205762.5,770912.5,0.000,0.000
205787.5,770912.5,0.000,0.000
205812.5,770912.5,0.000,0.000
205837.5,770912.5,0.000,0.000
205862.5,770912.5,0.000,0.000
205887.5,770912.5,0.000,0.000
205912.5,770912.5,0.000,0.000
205937.5,770912.5,0.000,0.000
205962.5,770912.5,0.000,0.000
205987.5,770912.5,0.000,0.000
206012.5,770912.5,0.000,0.000
206037.5,770912.5,0.000,0.000
206062.5,770912.5,0.000,0.000
206087.5,770912.5,0.000,0.000
206112.5,770912.5,0.000,0.000
206137.5,770912.5,0.000,0.000
206162.5,770912.5,0.066,0.001
206187.5,770912.5,0.000,0.000
206212.5,770912.5,0.726,0.012
206237.5,770912.5,5.501,0.090
206262.5,770912.5,24.491,0.403
206287.5,770912.5,34.236,0.563
206312.5,770912.5,19.145,0.315
206337.5,770912.5,6.955,0.114
206362.5,770912.5,2.843,0.047
206387.5,770912.5,0.792,0.013
206412.5,770912.5,0.066,0.001
206437.5,770912.5,0.066,0.001
206462.5,770912.5,0.000,0.000
206487.5,770912.5,0.066,0.001
206512.5,770912.5,0.000,0.000
206537.5,770912.5,0.000,0.000
206562.5,770912.5,0.000,0.000
206587.5,770912.5,0.000,0.000
206612.5,770912.5,0.000,0.000
206637.5,770912.5,0.000,0.000
206662.5,770912.5,0.000,0.000
205712.5,770887.5,0.000,0.000
205737.5,770887.5,0.000,0.000
205762.5,770887.5,0.000,0.000
205787.5,770887.5,0.000,0.000
205812.5,770887.5,0.000,0.000
205837.5,770887.5,0.000,0.000
205862.5,770887.5,0.000,0.000
205887.5,770887.5,0.000,0.000
205912.5,770887.5,0.000,0.000
205937.5,770887.5,0.000,0.000
205962.5,770887.5,0.000,0.000
205987.5,770887.5,0.000,0.000
206012.5,770887.5,0.000,0.000
206037.5,770887.5,0.000,0.000
206062.5,770887.5,0.066,0.001
206087.5,770887.5,0.000,0.000
206112.5,770887.5,0.000,0.000
206137.5,770887.5,0.132,0.002
206162.5,770887.5,0.066,0.001
206187.5,770887.5,0.332,0.005
206212.5,770887.5,5.245,0.086
206237.5,770887.5,28.652,0.471
206262.5,770887.5,50.215,0.826
206287.5,770887.5,43.201,0.711
206312.5,770887.5,23.780,0.391
206337.5,770887.5,6.835,0.112
206362.5,770887.5,1.190,0.020
206387.5,770887.5,0.396,0.007
206412.5,770887.5,0.198,0.003
206437.5,770887.5,0.198,0.003
206462.5,770887.5,0.000,0.000
206487.5,770887.5,0.000,0.000
206512.5,770887.5,0.000,0.000
206537.5,770887.5,0.000,0.000
206562.5,770887.5,0.000,0.000
206587.5,770887.5,0.066,0.001
206612.5,770887.5,0.000,0.000
206637.5,770887.5,0.000,0.000
206662.5,770887.5,0.000,0.000
205712.5,770862.5,0.000,0.000
205737.5,770862.5,0.000,0.000
205762.5,770862.5,0.000,0.000
205787.5,770862.5,0.000,0.000
205812.5,770862.5,0.000,0.000
205837.5,770862.5,0.000,0.000
205862.5,770862.5,0.000,0.000
205887.5,770862.5,0.000,0.000
205912.5,770862.5,0.000,0.000
205937.5,770862.5,0.000,0.000
205962.5,770862.5,0.000,0.000
205987.5,770862.5,0.000,0.000
206012.5,770862.5,0.000,0.000
206037.5,770862.5,0.000,0.000
206062.5,770862.5,0.066,0.001
206087.5,770862.5,0.066,0.001
206112.5,770862.5,0.066,0.001
206137.5,770862.5,0.264,0.004
206162.5,770862.5,0.792,0.013
206187.5,770862.5,4.577,0.075
206212.5,770862.5,18.138,0.298
206237.5,770862.5,47.506,0.781
206262.5,770862.5,47.051,0.774
206287.5,770862.5,30.535,0.502
206312.5,770862.5,8.806,0.145
206337.5,770862.5,1.788,0.029
206362.5,770862.5,0.330,0.005
206387.5,770862.5,0.132,0.002
206412.5,770862.5,0.000,0.000
206437.5,770862.5,0.000,0.000
206462.5,770862.5,0.000,0.000
206487.5,770862.5,0.000,0.000
206512.5,770862.5,0.066,0.001
206537.5,770862.5,0.000,0.000
206562.5,770862.5,0.000,0.000
206587.5,770862.5,0.000,0.000
206612.5,770862.5,0.000,0.000
206637.5,770862.5,0.000,0.000
206662.5,770862.5,0.000,0.000
205712.5,770837.5,0.000,0.000
205737.5,770837.5,0.000,0.000
205762.5,770837.5,0.000,0.000
205787.5,770837.5,0.000,0.000
205812.5,770837.5,0.000,0.000
205837.5,770837.5,0.000,0.000
205862.5,770837.5,0.000,0.000
205887.5,770837.5,0.000,0.000
205912.5,770837.5,0.000,0.000
205937.5,770837.5,0.000,0.000
205962.5,770837.5,0.000,0.000
205987.5,770837.5,0.000,0.000
206012.5,770837.5,0.000,0.000
206037.5,770837.5,0.000,0.000
206062.5,770837.5,0.000,0.000
206087.5,770837.5,0.132,0.002
206112.5,770837.5,0.066,0.001
206137.5,770837.5,0.396,0.007
206162.5,770837.5,4.627,0.076
206187.5,770837.5,13.033,0.214
206212.5,770837.5,25.214,0.415
206237.5,770837.5,33.968,0.559
206262.5,770837.5,27.258,0.448
206287.5,770837.5,7.526,0.124
206312.5,770837.5,1.920,0.032
206337.5,770837.5,1.056,0.017
206362.5,770837.5,0.396,0.007
206387.5,770837.5,0.132,0.002
206412.5,770837.5,0.066,0.001
206437.5,770837.5,0.066,0.001
206462.5,770837.5,0.000,0.000
206487.5,770837.5,0.000,0.000
206512.5,770837.5,0.000,0.000
206537.5,770837.5,0.000,0.000
206562.5,770837.5,0.000,0.000
206587.5,770837.5,0.000,0.000
206612.5,770837.5,0.000,0.000
206637.5,770837.5,0.000,0.000
206662.5,770837.5,0.066,0.001
205712.5,770812.5,0.000,0.000
205737.5,770812.5,0.000,0.000
205762.5,770812.5,0.000,0.000
205787.5,770812.5,0.000,0.000
205812.5,770812.5,0.000,0.000
205837.5,770812.5,0.000,0.000
205862.5,770812.5,0.000,0.000
205887.5,770812.5,0.000,0.000
205912.5,770812.5,0.000,0.000
205937.5,770812.5,0.000,0.000
205962.5,770812.5,0.000,0.000
205987.5,770812.5,0.000,0.000
206012.5,770812.5,0.000,0.000
206037.5,770812.5,0.000,0.000
206062.5,770812.5,0.132,0.002
206087.5,770812.5,0.264,0.004
206112.5,770812.5,0.990,0.016
206137.5,770812.5,3.301,0.054
206162.5,770812.5,10.266,0.169
206187.5,770812.5,13.664,0.225
206212.5,770812.5,12.315,0.203
206237.5,770812.5,13.866,0.228
206262.5,770812.5,6.794,0.112
206287.5,770812.5,2.779,0.046
206312.5,770812.5,0.792,0.013
206337.5,770812.5,0.330,0.005
206362.5,770812.5,0.132,0.002
206387.5,770812.5,0.198,0.003
206412.5,770812.5,0.000,0.000
206437.5,770812.5,0.000,0.000
206462.5,770812.5,0.000,0.000
206487.5,770812.5,0.000,0.000
206512.5,770812.5,0.000,0.000
206537.5,770812.5,0.000,0.000
206562.5,770812.5,0.066,0.001
206587.5,770812.5,0.000,0.000
206612.5,770812.5,0.000,0.000
206637.5,770812.5,0.000,0.000
206662.5,770812.5,0.066,0.001
205712.5,770787.5,0.000,0.000
205737.5,770787.5,0.000,0.000
205762.5,770787.5,0.000,0.000
205787.5,770787.5,0.000,0.000
205812.5,770787.5,0.000,0.000
205837.5,770787.5,0.000,0.000
205862.5,770787.5,0.000,0.000
205887.5,770787.5,0.000,0.000
205912.5,770787.5,0.000,0.000
205937.5,770787.5,0.000,0.000
205962.5,770787.5,0.000,0.000
205987.5,770787.5,0.066,0.001
206012.5,770787.5,0.066,0.001
206037.5,770787.5,0.000,0.000
206062.5,770787.5,0.198,0.003
206087.5,770787.5,1.254,0.021
206112.5,770787.5,2.903,0.048
206137.5,770787.5,5.608,0.092
206162.5,770787.5,6.689,0.110
206187.5,770787.5,8.699,0.143
206212.5,770787.5,11.089,0.182
206237.5,770787.5,10.891,0.179
